Property,X,Y,Z,Value
Permeability,5,38,0,0.66739434
Permeability,5,38,1,0.82301867
Permeability,5,38,2,0.56443894
Permeability,5,39,0,0.7127668
Permeability,5,39,1,0.84147555
Permeability,5,39,2,0.55021435
Permeability,6,0,0,0.90073305
Permeability,6,0,1,0.95961076
Permeability,6,0,2,0.5555687
Permeability,6,1,0,0.39587036
Permeability,6,1,1,0.9713466
Permeability,6,1,2,0.52587664
Permeability,6,2,0,0.4520637
Permeability,6,2,1,0.97061867
Permeability,6,2,2,0.49618173
Permeability,6,3,0,0.90128255
Permeability,6,3,1,0.9698908
Permeability,6,3,2,0.47857365
Permeability,6,4,0,0.9064355
Permeability,6,4,1,0.8022429
Permeability,6,4,2,0.47304955
Permeability,6,5,0,0.9124833
Permeability,6,5,1,0.8662189
Permeability,6,5,2,0.46752545
Permeability,6,6,0,0.905417
Permeability,6,6,1,0.29780313
Permeability,6,6,2,0.52520055
Permeability,6,7,0,0.8327578
Permeability,6,7,1,0.9504528
Permeability,6,7,2,0.59551775
Permeability,6,8,0,0.76010144
Permeability,6,8,1,0.7631656
Permeability,6,8,2,0.6569705
Permeability,6,9,0,0.69504076
Permeability,6,9,1,0.5758813
Permeability,6,9,2,0.64160657
Permeability,6,10,0,0.7340634
Permeability,6,10,1,0.4546963
Permeability,6,10,2,0.58199805
Permeability,6,11,0,0.79532915
Permeability,6,11,1,0.3996135
Permeability,6,11,2,0.6411089
Permeability,6,12,0,0.8788438
Permeability,6,12,1,0.27255914
Permeability,6,12,2,0.928063
Permeability,6,13,0,0.4815486
Permeability,6,13,1,0.31196442
Permeability,6,13,2,0.90715194
Permeability,6,14,0,0.45315126
Permeability,6,14,1,0.27230597
Permeability,6,14,2,0.64800537
Permeability,6,15,0,0.8926943
Permeability,6,15,1,0.23343584
Permeability,6,15,2,0.9029743
Permeability,6,16,0,0.7827618
Permeability,6,16,1,0.1985166
Permeability,6,16,2,0.98280334
Permeability,6,17,0,0.3518847
Permeability,6,17,1,0.16359796
Permeability,6,17,2,0.98440015
Permeability,6,18,0,0.40199578
Permeability,6,18,1,0.14325315
Permeability,6,18,2,0.9859999
Permeability,6,19,0,0.2199392
Permeability,6,19,1,0.1374819
Permeability,6,19,2,0.98197764
Permeability,6,20,0,0.22780241
Permeability,6,20,1,0.13171093
Permeability,6,20,2,0.9768333
Permeability,6,21,0,0.1976411
Permeability,6,21,1,0.13075112
Permeability,6,21,2,0.46722046
Permeability,6,22,0,0.16231993
Permeability,6,22,1,0.49410155
Permeability,6,22,2,0.45121208
Permeability,6,23,0,0.1797266
Permeability,6,23,1,0.45188245
Permeability,6,23,2,0.73580694
Permeability,6,24,0,0.8745827
Permeability,6,24,1,0.41843286
Permeability,6,24,2,0.1
Permeability,6,25,0,0.5303938
Permeability,6,25,1,0.42881358
Permeability,6,25,2,0.54454064
Permeability,6,26,0,0.4685756
Permeability,6,26,1,0.43919426
Permeability,6,26,2,0.55014527
Permeability,6,27,0,0.41088325
Permeability,6,27,1,0.46433756
Permeability,6,27,2,0.2625985
Permeability,6,28,0,0.3628063
Permeability,6,28,1,0.17974532
Permeability,6,28,2,0.19442935
Permeability,6,29,0,0.3628063
Permeability,6,29,1,0.6490584
Permeability,6,29,2,0.25637814
Permeability,6,30,0,0.3628063
Permeability,6,30,1,0.5435279
Permeability,6,30,2,0.35746345
Permeability,6,31,0,0.45449775
Permeability,6,31,1,0.43800026
Permeability,6,31,2,0.4585459
Permeability,6,32,0,0.6378807
Permeability,6,32,1,0.33000407
Permeability,6,32,2,0.47045726
Permeability,6,33,0,0.8212636
Permeability,6,33,1,0.38581187
Permeability,6,33,2,0.4645332
